fight_id,winner,title_bout,weight_class,no_of_rounds,r_fighter,r_fighter_id,r_fighter_stance,b_fighter,b_fighter_id,b_fighter_stance,date,referee,referee_id,b_fighter_height,r_fighter_height,b_fighter_reach,r_fighter_reach,b_fighter_weight,r_fighter_weight
FT35,Red ,FALSE,Open Weight,1,Keith Hackney,27,Sideways,Joe Son,38,Orthodox,12/16/1994,John McCarthy,r2,162.56,180.34,NULL,NULL,236,200
FT31,Red ,FALSE,Open Weight,1,Dan Severn,33,Southpaw,Marcus Bossett,35,Orthodox,12/16/1994,John McCarthy,r2,185.42,187.96,NULL,NULL,215,250
FT33,Red ,FALSE,Open Weight,1,Dan Severn,33,Southpaw,Anthony Macias,36,Switch,12/16/1994,John McCarthy,r2,175.26,187.96,NULL,NULL,185,250
FT37,Red ,FALSE,Open Weight,1,Guy Mezger,34,Orthodox,Jason Fairn,40,NULL,12/16/1994,John McCarthy,r2,185.42,185.42,NULL,NULL,230,200
FT39,Draw,FALSE,Catch Weight,2,Ken Shamrock,4,Orthodox,Royce Gracie,1,Southpaw,4/7/1995,John McCarthy,r2,185.42,185.42,NULL,182.88,175,205
FT38,Red ,TRUE ,Catch Weight,1,Dan Severn,33,Southpaw,Dave Beneteau,41,Orthodox,4/7/1995,John McCarthy,r2,187.96,187.96,NULL,NULL,250,250
FT40,Red ,FALSE,Open Weight,1,Dan Severn,33,Southpaw,Oleg Taktarov,42,Orthodox,4/7/1995,John McCarthy,r2,182.88,187.96,NULL,NULL,210,250
FT42,Red ,FALSE,Open Weight,1,Dan Severn,33,Southpaw,Joe Charles,45,Southpaw,4/7/1995,John McCarthy,r2,185.42,187.96,NULL,NULL,260,250
FT41,Red ,FALSE,Open Weight,1,Dave Beneteau,41,Orthodox,Todd Medina,43,Southpaw,4/7/1995,John McCarthy,r2,177.8,187.96,NULL,NULL,193,250
FT46,Red ,FALSE,Open Weight,1,Dave Beneteau,41,Orthodox,Asbel Cancio,49,NULL,4/7/1995,Lonnie Foster,r3,177.8,187.96,NULL,NULL,225,250
FT43,Red ,FALSE,Open Weight,1,Oleg Taktarov,42,Orthodox,Ernie Verdicia,46,Orthodox,4/7/1995,John McCarthy,r2,180.34,182.88,NULL,NULL,199,210
FT44,Red ,FALSE,Open Weight,1,Todd Medina,43,Southpaw,Larry Cureton,47,Orthodox,4/7/1995,John McCarthy,r2,187.96,177.8,NULL,NULL,240,193
FT45,Red ,FALSE,Open Weight,1,Jon Hess,44,NULL,Andy Anderson,48,NULL,4/7/1995,John McCarthy,r2,167.64,200.66,NULL,NULL,240,295
FT48,Red ,FALSE,Catch Weight,2,Ken Shamrock,4,Orthodox,Dan Severn,33,Southpaw,7/14/1995,John McCarthy,r2,187.96,185.42,NULL,182.88,250,205
FT52,Red ,FALSE,Open Weight,1,Patrick Smith,7,Orthodox,Rudyard Moncayo,52,Orthodox,7/14/1995,John McCarthy,r2,177.8,187.96,NULL,NULL,195,225
FT47,Red ,TRUE ,Catch Weight,2,Oleg Taktarov,42,Orthodox,David Abbott,50,Switch,7/14/1995,John McCarthy,r2,182.88,182.88,NULL,NULL,265,210
FT49,Red ,FALSE,Open Weight,1,Oleg Taktarov,42,Orthodox,Anthony Macias,36,Switch,7/14/1995,John McCarthy,r2,175.26,182.88,NULL,NULL,185,210
FT51,Red ,FALSE,Open Weight,1,Oleg Taktarov,42,Orthodox,Dave Beneteau,41,Orthodox,7/14/1995,John McCarthy,r2,187.96,182.88,NULL,NULL,250,210
FT50,Red ,FALSE,Open Weight,1,David Abbott,50,Switch,Paul Varelans,51,Orthodox,7/14/1995,John McCarthy,r2,203.2,182.88,NULL,NULL,300,265
FT54,Red ,FALSE,Open Weight,1,David Abbott,50,Switch,John Matua,54,Orthodox,7/14/1995,John McCarthy,r2,187.96,182.88,NULL,NULL,400,265
FT53,Red ,FALSE,Open Weight,1,Paul Varelans,51,Orthodox,Cal Worsham,53,Orthodox,7/14/1995,John McCarthy,r2,180.34,203.2,NULL,NULL,230,300
FT56,Draw,FALSE,Catch Weight,2,Ken Shamrock,4,Orthodox,Oleg Taktarov,42,Orthodox,9/8/1995,John McCarthy,r2,182.88,185.42,NULL,182.88,210,205
FT60,Red ,FALSE,Open Weight,1,Remco Pardoel,11,Southpaw,Ryan Parker,58,Southpaw,9/8/1995,John McCarthy,r2,190.5,190.5,NULL,NULL,235,260
FT58,Red ,FALSE,Open Weight,1,Paul Varelans,51,Orthodox,Mark Hall,56,Orthodox,9/8/1995,John McCarthy,r2,182.88,203.2,NULL,NULL,190,300
FT62,Red ,FALSE,Open Weight,1,Paul Varelans,51,Orthodox,Gerry Harris,59,Orthodox,9/8/1995,John McCarthy,r2,203.2,203.2,NULL,NULL,270,300
