"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","b_fighter","b_fighter_id","b_fighter_stance","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT384","Red ","TRUE ","Light Heavyweight",5,"Vitor Belfort",86,"Southpaw","Randy Couture",93,"Orthodox","2004-01-31","John McCarthy","r2",185.42,182.88,190.5,187.96,205,185,"record384","FT384",0,2,0,7,2,9,1,0,2,5,1,0,9,32,852.5454545,0,1,0,3,2,10,240.25,1,0,0,0,5,1,0,6
"FT386","Red ","TRUE ","Welterweight",5,"BJ Penn",227,"Orthodox","Matt Hughes",170,"Switch","2004-01-31","Mario Yamasaki","r7",175.26,175.26,185.42,177.8,170,155,"record386","FT386",0,6,0,6,1,6,0,0,2,3,1,2,8,22,645.8888889,1,0,0,3,2,18,696.1428571,2,0,0,1,4,0,0,5
"FT391","Red ","FALSE","Lightweight",3,"Matt Serra",229,"Orthodox","Jeff Curran",294,"Orthodox","2004-01-31","Steve Mazzagatti","r17",167.64,167.64,175.26,172.72,135,170,"record391","FT391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,0,0,2,3,13,753.8,0,1,0,0,0,1,0,2
"FT387","Red ","FALSE","Heavyweight",3,"Frank Mir",240,"Southpaw","Wes Sims",279,"Orthodox","2004-01-31","John McCarthy","r2",208.28,190.5,NULL,200.66,260,264,"record387","FT387",1,0,0,0,1,0,0,0,0,0,0,0,0,1,175,0,2,0,2,1,5,121.4,0,0,0,0,0,3,0,4
"FT390","Red ","FALSE","Lightweight",3,"Josh Thomson",283,"Orthodox","Hermes Franca",271,"Orthodox","2004-01-31","Larry Landless","r10",167.64,177.8,180.34,180.34,155,155,"record390","FT390",0,2,0,2,0,0,0,0,1,1,0,0,2,5,683,0,1,0,1,0,1,165,0,0,0,0,1,0,0,1
"FT385","Red ","FALSE","Welterweight",3,"Renato Verissimo",291,"Orthodox","Carlos Newton",133,"Orthodox","2004-01-31","Larry Landless","r10",175.26,185.42,NULL,NULL,170,170,"record385","FT385",0,1,0,1,3,4,0,0,0,0,3,0,3,13,555.1666667,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT388","Red ","FALSE","Middleweight",3,"Lee Murray",292,"Orthodox","Jorge Rivera",281,"Orthodox","2004-01-31","Mario Yamasaki","r7",185.42,190.5,185.42,NULL,185,185,"record388","FT388",0,1,0,1,0,0,0,0,1,0,0,0,1,3,900,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT389","Red ","FALSE","Welterweight",3,"Georges St-Pierre",293,"Orthodox","Karo Parisyan",282,"Orthodox","2004-01-31","Steve Mazzagatti","r17",177.8,180.34,182.88,193.04,170,185,"record389","FT389",0,1,0,1,0,0,0,0,0,0,1,0,1,1,232,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT392","Red ","FALSE","Light Heavyweight",3,"Chuck Liddell",134,"Orthodox","Tito Ortiz",97,"Orthodox","2004-04-02","John McCarthy","r2",190.5,187.96,187.96,193.04,205,205,"record392","FT392",1,0,0,6,3,9,0,0,2,5,1,1,9,30,713,1,0,0,7,2,20,628.5,1,0,0,5,2,0,1,8
"FT395","Red ","FALSE","Heavyweight",3,"Andrei Arlovski",210,"Orthodox","Wesley Correira",265,"Orthodox","2004-04-02","Mario Yamasaki","r7",190.5,190.5,NULL,195.58,260,240,"record395","FT395",0,2,0,2,1,0,0,0,0,1,0,1,2,5,314.3333333,0,2,0,2,2,9,328,0,0,0,0,2,1,0,3
"FT393","Red ","FALSE","Welterweight",3,"Chris Lytle",216,"Orthodox","Tiki Ghosn",188,"Orthodox","2004-04-02","Mario Yamasaki","r7",177.8,180.34,NULL,172.72,170,170,"record393","FT393",3,0,0,0,3,0,0,0,0,0,0,0,0,5,355,2,0,0,0,2,5,750,0,0,0,0,0,0,0,0
"FT394","Red ","FALSE","Lightweight",3,"Yves Edwards",238,"Southpaw","Hermes Franca",271,"Orthodox","2004-04-02","Herb Dean","r18",167.64,175.26,180.34,185.42,155,155,"record394","FT394",1,0,0,2,1,0,0,0,1,1,0,0,2,8,755.3333333,0,4,0,4,2,15,676.6666667,0,0,0,1,2,1,0,4
"FT399","Red ","FALSE","Lightweight",3,"Genki Sudo",259,"Orthodox","Mike Brown",298,"Orthodox","2004-04-02","Steve Mazzagatti","r17",167.64,175.26,177.8,NULL,145,155,"record399","FT399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,1,1,5,649,0,0,0,0,0,1,0,1
"FT396","Red ","FALSE","Welterweight",3,"Nick Diaz",284,"Southpaw","Robbie Lawler",250,"Southpaw","2004-04-02","Steve Mazzagatti","r17",180.34,185.42,187.96,193.04,170,185,"record396","FT396",0,1,0,3,1,0,0,0,2,2,0,0,4,11,532.8,0,1,0,1,0,3,724,0,0,0,0,0,1,0,1
"FT397","Red ","FALSE","Heavyweight",3,"Mike Kyle",295,"Orthodox","Wes Sims",279,"Orthodox","2004-04-02","John McCarthy","r2",208.28,193.04,NULL,195.58,260,205,"record397","FT397",2,0,0,0,2,0,0,0,0,0,0,0,0,3,368,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT398","Red ","FALSE","Heavyweight",3,"Jonathan Wiezorek",296,"Southpaw","Wade Shipp",297,"Orthodox","2004-04-02","Herb Dean","r18",190.5,190.5,NULL,NULL,245,250,"record398","FT398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT400","Red ","FALSE","Heavyweight",3,"Ken Shamrock",4,"Orthodox","Kimo Leopoldo",29,"Orthodox","2004-06-19","John McCarthy","r2",190.5,185.42,NULL,182.88,235,205,"record400","FT400",0,1,0,1,3,0,0,0,0,1,1,0,2,6,422.2,1,0,0,2,5,17,600.9090909,1,0,0,0,1,5,0,6
"FT404","Red ","FALSE","Middleweight",3,"Evan Tanner",146,"Orthodox","Phil Baroni",220,"Orthodox","2004-06-19","John McCarthy","r2",175.26,182.88,182.88,187.96,170,185,"record404","FT404",2,0,0,2,3,0,0,0,1,2,0,0,3,11,479.8333333,0,1,0,3,2,12,312,1,0,0,1,3,2,1,7
"FT403","Red ","FALSE","Welterweight",3,"Matt Hughes",170,"Switch","Renato Verissimo",291,"Orthodox","2004-06-19","Steve Mazzagatti","r17",185.42,175.26,NULL,185.42,170,170,"record403","FT403",0,1,0,1,0,0,0,0,1,0,0,0,1,3,900,1,0,0,6,2,23,609.2,7,0,0,2,3,1,2,8
"FT405","Red ","FALSE","Lightweight",3,"Matt Serra",229,"Orthodox","Ivan Menjivar",300,"Orthodox","2004-06-19","Mario Yamasaki","r7",167.64,167.64,162.56,172.72,145,170,"record405","FT405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,1,0,2,3,16,778.1666667,0,1,0,1,0,1,0,3
"FT402","Red ","TRUE ","Heavyweight",5,"Frank Mir",240,"Southpaw","Tim Sylvia",264,"Orthodox","2004-06-19","Herb Dean","r18",203.2,190.5,203.2,200.66,265,264,"record402","FT402",0,3,0,3,0,2,0,0,0,3,0,0,3,4,235.3333333,0,3,0,3,1,7,194.6666667,0,0,0,0,1,3,0,5
"FT401","Red ","FALSE","Welterweight",3,"Frank Trigg",288,"Southpaw","Dennis Hallman",218,"Orthodox","2004-06-19","Mario Yamasaki","r7",175.26,175.26,182.88,180.34,155,170,"record401","FT401",1,0,0,1,1,1,0,0,0,0,1,0,1,6,760,1,0,0,0,1,1,234,1,0,0,0,0,0,0,0
